,Date,Unix,Ticker,Debt Equity Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference,Difference Stocl,Difference stock
12,2013-05-14 00:28:58,1368516538.0,a,44.12,43.04,17.435197817189636,1650.339966,-19.924891726427067,37.3600895436167,17.435197817189636,37.3600895436167
13,2013-09-06 06:09:52,1378472992.0,a,56.39,47.68,30.095497953615286,1655.170044,-19.690534547428832,49.78603250104412,30.095497953615286,49.78603250104412
14,2004-04-13 04:20:10,1081855210.0,aa,0.595,34.26,0.0,1129.439941,0.0,0.0,0.0,0.0
15,2004-09-09 16:15:45,1094771745.0,aa,0.561,32.89,-3.9988324576765835,1118.380005,-0.9792407368033841,-3.0195917208731995,-3.9988324576765835,-3.0195917208731995
16,2004-11-24 10:37:20,1101321440.0,aa,0.53,33.58,-1.9848219497956794,1181.76001,4.6323905416056,-6.61721249140128,-1.9848219497956794,-6.61721249140128
17,2005-01-13 07:18:32,1105629512.0,aa,0.457,29.43,-14.098073555166371,1177.449951,4.250780254635953,-18.348853809802325,-14.098073555166371,-18.348853809802325
18,2005-02-07 03:48:37,1107776917.0,aa,0.457,29.37,-14.27320490367775,1201.719971,6.399634666364247,-20.672839570041997,-14.27320490367775,-20.672839570041997
19,2006-06-20 04:32:21,1150803141.0,aa,0.526,29.1,-15.061295971978975,1240.119995,9.799551971041895,-24.86084794302087,-15.061295971978975,-24.86084794302087
20,2007-01-25 19:09:37,1169780977.0,aa,0.494,31.46,-8.172796263864557,1423.900024,26.07133609417837,-34.244132358042926,-8.172796263864557,-34.244132358042926
21,2007-02-23 09:03:42,1172250222.0,aa,0.494,34.75,1.4302393461763048,1451.189941,28.48757054891509,-27.057331202738787,1.4302393461763048,-27.057331202738787
22,2007-05-16 21:12:47,1179375167.0,aa,0.494,39.04,13.952130764740225,1514.140015,34.06113596969029,-20.109005204950066,13.952130764740225,-20.109005204950066
23,2007-06-22 06:39:12,1182519552.0,aa,0.503,40.34,17.746643315820215,1502.560059,33.03585294403891,-15.289209628218693,17.746643315820215,-15.289209628218693
24,2007-10-11 20:57:59,1192161479.0,aa,0.47,38.08,11.150029188558088,1554.410034,37.626621617766915,-26.47659242920883,11.150029188558088,-26.47659242920883
25,2008-01-23 16:05:53,1201133153.0,aa,0.499,28.04,-18.155283129013426,1338.599976,18.518916093476445,-36.674199222489875,-18.155283129013426,-36.674199222489875
26,2008-10-28 00:52:22,1225180342.0,aa,0.672,9.04,-73.61354349095154,940.51001,-16.727753653967874,-56.88578983698367,-73.61354349095154,-56.88578983698367
27,2008-12-05 01:03:15,1228467795.0,aa,0.672,8.06,-76.47402218330413,876.070007,-22.433236580571755,-54.04078560273237,-76.47402218330413,-54.04078560273237
28,2008-12-18 10:54:07,1229626447.0,aa,0.672,10.35,-69.78984238178634,885.2800289999999,-21.617786226315168,-48.172056155471175,-69.78984238178634,-48.172056155471175
29,2011-11-02 22:04:47,1320296687.0,aa,50.93,10.7,-68.76824284880327,1237.900024,9.602996942357994,-78.37123979116126,-68.76824284880327,-78.37123979116126
30,2012-03-09 07:34:06,1331307246.0,aa,54.5,9.77,-71.48277875072971,1370.869995,21.37608607910918,-92.8588648298389,-71.48277875072971,-92.8588648298389
31,2012-03-19 02:24:48,1332149088.0,aa,54.5,10.54,-69.23525977816696,1409.75,24.81850064128376,-94.05376041945073,-69.23525977816696,-94.05376041945073
32,2012-11-27 11:38:14,1354045094.0,aa,56.51,8.31,-75.74430823117338,1398.939941,23.86138387857845,-99.60569210975183,-75.74430823117338,-99.60569210975183
33,2013-01-22 17:52:37,1358905957.0,aa,53.49,9.16,-73.26328079392877,1492.560059,32.15045836598405,-105.41373915991282,-73.26328079392877,-105.41373915991282
34,2013-04-23 20:02:57,1366772577.0,aa,53.21,8.12,-76.29889083479277,1578.780029,39.78432776178932,-116.0832185965821,-76.29889083479277,-116.0832185965821
35,2013-04-26 20:55:15,1367034915.0,aa,53.21,8.27,-75.8610624635143,1582.23999,40.090670832757446,-115.95173329627175,-75.8610624635143,-115.95173329627175
36,2004-02-03 07:33:34,1075822414.0,aapl,0.07,22.32,0.0,1136.030029,0.0,0.0,0.0,0.0
37,2004-06-03 01:20:38,1086250838.0,aapl,0.0,28.92,29.569892473118287,1116.640015,-1.7068223114725487,31.276714784590837,29.569892473118287,31.276714784590837
38,2004-08-10 02:02:44,1092128564.0,aapl,0.0,30.3,35.752688172043015,1079.040039,-5.016591863347657,40.76928003539067,35.752688172043015,40.76928003539067
39,2004-10-12 05:40:57,1097584857.0,aapl,0.0,38.59,72.89426523297492,1121.839966,-1.2490922456064768,74.1433574785814,72.89426523297492,74.1433574785814
40,2005-01-26 15:16:47,1106781407.0,aapl,0.0,71.94,222.31182795698925,1174.069946,3.348495728892397,218.96333222809685,222.31182795698925,218.96333222809685
41,2005-02-04 03:07:08,1107515228.0,aapl,0.0,77.81,248.61111111111111,1203.030029,5.897731423435815,242.71337968767529,248.61111111111111,242.71337968767529
42,2005-03-01 10:36:03,1109702163.0,aapl,0.0,44.86,100.98566308243726,1210.410034,6.547362578564372,94.43830050387288,100.98566308243726,94.43830050387288
43,2006-01-25 09:43:52,1138211032.0,aapl,0.0,76.04,240.68100358422942,1264.680054,11.32452679206422,229.3564767921652,240.68100358422942,229.3564767921652
44,2006-02-03 13:49:59,1139003399.0,aapl,0.0,72.1,223.02867383512543,1264.030029,11.26730779402663,211.7613660410988,223.02867383512543,211.7613660410988
45,2006-02-07 09:17:30,1139332650.0,aapl,0.0,67.3,201.5232974910394,1254.780029,10.453068754223924,191.07022873681547,201.5232974910394,191.07022873681547
46,2006-02-17 15:01:01,1140217261.0,aapl,0.0,70.21,214.56093189964153,1287.23999,13.310384157107524,201.250547742534,214.56093189964153,201.250547742534
47,2013-06-19 09:57:38,1371661058.0,abbv,512.61,43.54,0.0,1628.930054,0.0,0.0,0.0,0.0
48,2004-01-28 07:37:34,1075304254.0,abc,0.429,56.36,0.0,1128.47998,0.0,0.0,0.0,0.0
49,2004-10-20 01:31:26,1098261086.0,abc,0.331,52.1,-7.558552164655781,1103.660034,-2.1994139408658424,-5.359138223789939,-7.558552164655781,-5.359138223789939
50,2005-03-30 19:52:42,1112237562.0,abc,0.291,55.44,-1.632363378282473,1181.410034,4.69038484847555,-6.322748226758023,-1.632363378282473,-6.322748226758023
51,2005-05-26 01:50:44,1117097444.0,abc,0.23,65.93,16.98012775017744,1197.619995,6.126826902148494,10.853300848028947,16.98012775017744,10.853300848028947
52,2007-02-20 06:12:02,1171980722.0,abc,0.308,54.9,-2.5904897090134864,1459.680054,29.34922017845632,-31.939709887469807,-2.5904897090134864,-31.939709887469807
53,2007-04-05 16:11:07,1175814667.0,abc,0.308,53.94,-4.293825408090847,1443.76001,27.93846905463045,-32.2322944627213,-4.293825408090847,-32.2322944627213
54,2008-01-23 20:34:05,1201149245.0,abc,0.396,45.55,-19.180269694819025,1338.599976,18.619736257970647,-37.800005952789675,-19.180269694819025,-37.800005952789675
55,2011-07-08 00:04:15,1310108655.0,abc,42.86,43.05,-23.616039744499652,1343.800049,19.080539559062434,-42.69657930356209,-23.616039744499652,-42.69657930356209
56,2012-02-28 18:01:38,1330480898.0,abc,66.41,37.75,-33.01987224982257,1372.180054,21.595427328715203,-54.61529957853777,-33.01987224982257,-54.61529957853777
57,2013-04-25 01:02:00,1366876920.0,abc,59.73,55.82,-0.9581263307310134,1585.160034,40.46860042656671,-41.42672675729772,-0.9581263307310134,-41.42672675729772
58,2004-09-20 13:31:02,1095712262.0,abt,0.543,42.92,0.0,1122.199951,0.0,0.0,0.0,0.0
59,2005-01-25 12:44:11,1106685851.0,abt,0.508,45.93,7.013047530288905,1168.410034,4.117811888943839,2.8952356413450655,7.013047530288905,2.8952356413450655
60,2005-02-28 19:21:54,1109647314.0,abt,0.508,45.61,6.267474370922642,1203.599976,7.253611526846333,-0.9861371559236911,6.267474370922642,-0.9861371559236911
61,2006-07-18 12:32:14,1153251134.0,abt,0.436,44.48,3.63466915191052,1236.859985,10.217433524019107,-6.582764372108587,3.63466915191052,-6.582764372108587
62,2007-03-23 02:47:40,1174643260.0,abt,0.883,54.5,26.980428704566627,1436.109985,27.972736384480555,-0.9923076799139281,26.980428704566627,-0.9923076799139281
63,2007-04-10 20:13:09,1176261189.0,abt,0.883,57.11,33.06150978564771,1448.390015,29.06701820021732,3.9944915854303886,33.06150978564771,3.9944915854303886
64,2008-01-23 23:41:45,1201160505.0,abt,0.784,57.97,35.06523765144454,1338.599976,19.283553239078685,15.781684412365856,35.06523765144454,15.781684412365856
65,2008-04-28 03:46:55,1209379615.0,abt,0.687,51.28,19.478098788443614,1396.369995,24.43147887822354,-4.953380089779927,19.478098788443614,-4.953380089779927
66,2008-10-23 21:57:42,1224824262.0,abt,0.732,55.02,28.191985088536814,908.1099849999999,-19.077702312250423,47.269687400787234,28.191985088536814,47.269687400787234
67,2011-08-05 04:11:33,1312542693.0,abt,76.17,48.77,13.630009319664497,1199.380005,6.877567044199588,6.752442275464909,13.630009319664497,6.752442275464909
